source_name,target_name
ഏലക്ക,Kerala Cardamom 8mm - 100gm
എലക്ക,Kerala Cardamom 8mm - 100gm
ഗ്രാമ്പൂ,Clove 50 gram
ഗ്രാമ്പു,Clove 50 gram
കുരുമുളക്,Black Pepper Kerala - 100
കുരുമുളക,Black Pepper Kerala - 100
cardamom,Kerala Cardamom 8mm - 100gm
cardamom 50gms,Cardamom 50 gram
cardamom 100gms,Kerala Cardamom 8mm - 100gm
cardamom 250g,Kerala Cardamom 8mm - 250
cardamom 1 kg,Kerala Cardamom 8mm - 1KG
clove,Clove 50 gram
clove 250gm,Clove 250 gram
black pepper,Black Pepper Kerala - 100
pepper,Black Pepper Kerala - 100
cinnamon,Ceylon True Cinnamon - 100
cinnamon 100gm,Ceylon True Cinnamon - 100
clove 100,Clove 100 gram
clove 100gm,Clove 100 gram
clove 1 kg,Clove 500 gram
clove 150,Clove 150 gram
cardamom 500gms,Kerala Cardamom 8mm - 500
cardamom 300,Kerala Cardamom 8mm - 300
cardamom 150,Kerala Cardamom 8mm - 150
cardamom 120,Kerala Cardamom 8mm - 120
turmeric 100gm,Turmeric 100gm
idukki tamarind 500 gm,Malabar Tamarind 1 kg
nutmeg mace,Kerala Nutmeg Mace
kerala nutmug,Kerala Nutmeg Mace
malabar nutmeg mace,Kerala Nutmeg Mace
javithri 50 gm,Javithri 50 gram
black pepper (bulk) 1kg,Black Pepper Kerala - 1KG
white pepper 500 gm,White Pepper 500 gram
coffe powder 200,Coffee Powder 200gm
delivery charge,__SKIP__
spices,__SKIP__
Elakka 200,Kerala Cardamom 8mm - 200
ELAKKA 200,Kerala Cardamom 8mm - 200
Elakka 200gm,Kerala Cardamom 8mm - 200
Elakka 200 gm,Kerala Cardamom 8mm - 200
Elakka 200G,Kerala Cardamom 8mm - 200
Cardamon - 200 gram,Kerala Cardamom 8mm - 200
Elakka 100,Kerala Cardamom 8mm - 100gm
elakka 100,Kerala Cardamom 8mm - 100gm
Elakka 100gram,Kerala Cardamom 8mm - 100gm
Elakka 100 gram,Kerala Cardamom 8mm - 100gm
elakka100,Kerala Cardamom 8mm - 100gm
100 gm elakka,Kerala Cardamom 8mm - 100gm
Alaka 100 g,Kerala Cardamom 8mm - 100gm
100 gr . ഏലം 845,Kerala Cardamom 8mm - 100gm
100 ഗ്രാം വീതം രണ്ട് പാക്കറ്റ് ഏലം,Kerala Cardamom 8mm - 100gm
elakka 100grambu100,Kerala Cardamom 8mm - 100gm
elakka100kurumulaku500,Kerala Cardamom 8mm - 100gm
Elakka 250,Kerala Cardamom 8mm - 250
500gm Elakka,Kerala Cardamom 8mm - 500
Elakka 8mm 200,Kerala Cardamom 8mm - 200
Elakka 1 kg,Kerala Cardamom 8mm - 1KG
Elakka 1kg,Kerala Cardamom 8mm - 1KG
Elakka 50,Cardamom 50 gram
elakk 50,Cardamom 50 gram
Elakka 50gm,Cardamom 50 gram
200elakk,Kerala Cardamom 8mm - 200
CA100,Kerala Cardamom 8mm - 100gm
CA 100,Kerala Cardamom 8mm - 100gm
CA 200,Kerala Cardamom 8mm - 200
CA 50,Cardamom 50 gram
kurumulaku 250,Black Pepper Kerala - 250
kurumulaku250,Black Pepper Kerala - 250
kurumulaku 250gm,Black Pepper Kerala - 250
kurumulaku250gm,Black Pepper Kerala - 250
250 gm kurumulak,Black Pepper Kerala - 250
Peppar 250,Black Pepper Kerala - 250
kurumulaku 500,Black Pepper Kerala - 500
kurumulaku500,Black Pepper Kerala - 500
Kurumulaku500,Black Pepper Kerala - 500
500kurumulak,Black Pepper Kerala - 500
peppar 500 gram,Black Pepper Kerala - 500
Peppar 500gm,Black Pepper Kerala - 500
Peppar 500,Black Pepper Kerala - 500
BP 500,Black Pepper Kerala - 500
BP500,Black Pepper Kerala - 500
Bp 500,Black Pepper Kerala - 500
Kurumulaku 1 kg,Black Pepper Kerala - 1KG
kurumulaku1 kg,Black Pepper Kerala - 1KG
peppar1 kg,Black Pepper Kerala - 1KG
Kurumulaku 500gram 2 packet,Black Pepper Kerala - 500
Kurumulaku 100,Black Pepper Kerala - 100
kurumulaku100,Black Pepper Kerala - 100
Grambu 200,Clove 200 gram
grambu 200 gram,Clove 200 gram
grampu 200,Clove 200 gram
Grambu 100,Clove 100 gram
grambu 100,Clove 100 gram
grambu 100 gm=940,Clove 100 gram
Grambu100,Clove 100 gram
Grampoo 100 g 599,Clove 100 gram
Grampoo 100 g,Clove 100 gram
Grampoo 100,Clove 100 gram
Grampoo 100 grade,Clove 100 gram
ഗ്രാംബൂ -100,Clove 100 gram
Grambu 50,Clove 50 gram
grambu 50,Clove 50 gram
50gmgrampu,Clove 50 gram
കറുവപ്പട്ട 100g,Ceylon True Cinnamon - 100
കറുവപ്പട്ട=100gram,Ceylon True Cinnamon - 100
Patta 50,Cinnamon 50 gram
Patta 200,Ceylon True Cinnamon 200
കറുവപ്പട്ട 50gm = ₹699*,Cinnamon 50 gram
paid,__SKIP__
Paid,__SKIP__
COD,__SKIP__
cod,__SKIP__
COD ചെയ്യാം,__SKIP__
call,__SKIP__
call edukkunnilla,__SKIP__
cancel,__SKIP__
Error,__SKIP__
40 (Delivery),__SKIP__
delivery 60,__SKIP__
Grade)*,__SKIP__
= ₹845,__SKIP__
₹40,__SKIP__
100 gm – ₹400,__SKIP__
100 gm : ₹360,__SKIP__
100 gm : ₹420,__SKIP__
200 gm : ₹799,__SKIP__
250 gm : ₹300,__SKIP__
Combo 599.,__SKIP__
40,__SKIP__
A,__SKIP__
*Special Offer Combo*,__SKIP__
200 gram,__SKIP__
100 grams Idukki Grampoo 190. Total 990. Please pay only 950.,__SKIP__
Chukk 200,__SKIP__
Elakka 400,__SKIP__
kurumulaku1.5 kg,__SKIP__
Elakka 3 packet 50gram,__SKIP__
2 packet elakka,__SKIP__
ഏലം 100 ഗ്രാ ഗ്രാം പു 50 ഗ്രാ,__SKIP__
grambu100,Clove 100 gram
Elakka400,__SKIP__
100gm elakka :,Kerala Cardamom 8mm - 100gm
Elakka 100gm,Kerala Cardamom 8mm - 100gm
elakka100gm,Kerala Cardamom 8mm - 100gm
Elakka200,Kerala Cardamom 8mm - 200
Elakka 200gram,Kerala Cardamom 8mm - 200
Elakka 200 grm,Kerala Cardamom 8mm - 200
Ealakka  200 gm,Kerala Cardamom 8mm - 200
200 elakka,Kerala Cardamom 8mm - 200
200GM ELAKAK,Kerala Cardamom 8mm - 200
Combo 200gms Elakka,Kerala Cardamom 8mm - 200
Elakka 250 =950,Kerala Cardamom 8mm - 250
Elakka 500,Kerala Cardamom 8mm - 500
Elakka 500gm,Kerala Cardamom 8mm - 500
150g Elakka - 599,Kerala Cardamom 8mm - 150
elakkka 150,Kerala Cardamom 8mm - 150
Grampoo 50,Clove 50 gram
100gm Grampoo,Clove 100 gram
100 Grampoo : 180,Clove 100 gram
ഗ്രാംമ്പു 100gm=190,Clove 100 gram
Gramboo : 100 gm – ₹190,Clove 100 gram
Grampoo  :100,Clove 100 gram
Grampoo 101,Clove 100 gram
Grambu 250,Clove 250 gram
150g Grampoo - 270,Clove 150 gram
Grampoo 500gm,Clove 500 gram
200 Gramboo,Clove 200 gram
CL 100,Clove 100 gram
CL100,Clove 100 gram
karuvappatta  100,Ceylon True Cinnamon - 100
karuvappatta 200,Ceylon True Cinnamon 200
Karuvappatta 200,Ceylon True Cinnamon 200
100gm കറുവപ്പട്ട = 999 Only,Ceylon True Cinnamon - 100
കറുകപ്പട്ട 100gm=320,Ceylon True Cinnamon - 100
കറുവപ്പട്ട 50gm : 180,Cinnamon 50 gram
ചുരുൾ പട്ട 100gm : 320,Cylon Cinnamon 100 gram
പട്ട 100gm : 320..,Cylon Cinnamon 100 gram
200g karuvappatta,Ceylon True Cinnamon 200
Kurumulak 100,Black Pepper Kerala - 100
