order_id,source_product_name,matched_product_id,matched_product_name,match_method,score
IN_25092140,Cardamom 50gms,,,unmatched,0.5
IN_25092140,Ceylon Cinnamon 100gm,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,0.6667
IN_25092115,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_25092115,Clove 100gm,,,unmatched,0.5
IN_25092142,Black Pepper 500gms,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_25092142,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_25092162,Black Pepper 500gms,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_25092162,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_25092186,Black Pepper 500gms,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_25092136,Ceylon Cinnamon 100gm,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,0.6667
IN_25092119,Black Pepper 500gms,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_25092119,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_25092160,Cardamom 250g,,,unmatched,0.5
IN_25092160,250gm Black Pepper,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_25092245,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_25092245,200 gm Black pepper,919629bf-499c-49e7-a3c6-46a210f3d061,Black pepper 200 gram,token_similarity,0.75
IN_25092253,Black Pepper 500gms,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
