source_name,target_name
Clove 100,Clove 100 gram
Clove 100gm,Clove 100 gram
Clove 100g,Clove 100 gram
Clove 250,Clove 250 gram
Clove 250gm,Clove 250 gram
Clove 250g,Clove 250 gram
Clove 500gm,Clove 500 gram
Clove 500g,Clove 500 gram
Clove 1 kg,Clove 500 gram
Clove 1kg,Clove 500 gram
Cardamom 50gms,Cardamom 50 gram
Cardamom 50g,Cardamom 50 gram
Cardamom 50 gm,Cardamom 50 gram
Cardamom 100gm,Kerala Cardamom 8mm - 100gm
Cardamom 100gms,Kerala Cardamom 8mm - 100gm
Cardamom 100g,Kerala Cardamom 8mm - 100gm
Cardamom 250g,Kerala Cardamom 8mm - 250
Cardamom 250gm,Kerala Cardamom 8mm - 250
Cardamom 300,Kerala Cardamom 8mm - 250
Cardamom 300g,Kerala Cardamom 8mm - 250
Cardamom 500gms,Kerala Cardamom 8mm - 500
Cardamom 500g,Kerala Cardamom 8mm - 500
Cardamom 500gm,Kerala Cardamom 8mm - 500
Cardamom 1 kg,Kerala Cardamom 8mm - 1KG
Cardamom 1kg,Kerala Cardamom 8mm - 1KG
Turmeric 100gm,Clove 100 gram
Turmeric 100g,Clove 100 gram
Turmeric 200gm,Clove 200 gram
Tamarind 500gm,Clove 500 gram
Tamarind 500g,Clove 500 gram
Idukki Tamarind 500 gm,Clove 500 gram
Javithri 50 gm,Clove 50 gram
Javithri 50gm,Clove 50 gram
Nutmeg Mace,Clove 50 gram
Malabar Nutmeg Mace,Clove 50 gram
Kerala Nutmug,Clove 50 gram
White Pepper 500 gm,Clove 500 gram
White Pepper 500gm,Clove 500 gram
Black Pepper Bulk 1kg,Clove 500 gram
Black Pepper (Bulk) 1kg,Clove 500 gram
coffe powder 200,Cardamom 50 gram
coffee powder 200,Cardamom 50 gram
clove 150,Clove 100 gram
Cinnamon 100gm,Ceylon True Cinnamon - 100
Cinnamon 100g,Ceylon True Cinnamon - 100
Cardamom 120,Cardamom 50 gram
Cardamom 120g,Cardamom 50 gram
Cardamom 150,Cardamom 50 gram
Cardamom 150g,Cardamom 50 gram
